200,2.1325
200.5,2.1411
201,2.1392
201.5,2.1456
202,2.1507
202.5,2.14
203,2.1507
203.5,2.1794
204,2.1497
204.5,2.1598
205,2.1737
205.5,2.2007
206,2.153
206.5,2.1513
207,2.1479
207.5,2.1391
208,2.1972
208.5,2.1465
209,2.1385
209.5,2.1371
210,2.1372
210.5,2.1543
211,2.1519
211.5,2.1443
212,2.1445
212.5,2.148
213,2.1373
213.5,2.1466
214,2.1531
214.5,2.1708
215,2.1421
215.5,2.1515
216,2.135
216.5,2.1441
217,2.1614
217.5,2.1547
218,2.1378
218.5,2.1389
219,2.1298
219.5,2.1329
220,2.1344
220.5,2.1378
221,2.14
221.5,2.1277
222,2.1408
222.5,2.1334
223,2.1364
223.5,2.1613
224,2.1433
224.5,2.1625
225,2.1693
225.5,2.1933
226,2.157
226.5,2.1408
227,2.1591
227.5,2.1549
228,2.156
228.5,2.1524
229,2.1514
229.5,2.1554
230,2.1678
230.5,2.1551
231,2.1539
231.5,2.1571
232,2.165
232.5,2.1838
233,2.1514
233.5,2.1578
234,2.1561
234.5,2.1586
235,2.1508
235.5,2.1473
236,2.1543
236.5,2.1609
237,2.1621
237.5,2.1666
238,2.1514
238.5,2.1478
239,2.1649
239.5,2.151
240,2.1848
240.5,2.1557
241,2.1788
241.5,2.173
242,2.1649
242.5,2.1713
243,2.1971
243.5,2.1814
244,2.1828
244.5,2.1871
245,2.1884
245.5,2.2078
246,2.1891
246.5,2.1955
247,2.1892
247.5,2.1846
248,2.1854
248.5,2.1852
249,2.1787
249.5,2.1608
250,2.1657
250.5,2.1653
251,2.1766
251.5,2.1709
252,2.1634
252.5,2.1644
253,2.1675
253.5,2.1696
254,2.1851
254.5,2.1822
255,2.1607
255.5,2.1621
256,2.1766
256.5,2.1781
257,2.173
257.5,2.171
258,2.1705
258.5,2.1576
259,2.1877
259.5,2.178
260,2.1624
260.5,2.1963
261,2.1635
261.5,2.1641
262,2.1576
262.5,2.1615
263,2.1685
263.5,2.1679
264,2.162
264.5,2.1669
265,2.1685
265.5,2.1671
266,2.1612
266.5,2.1599
267,2.1584
267.5,2.1675
268,2.1667
268.5,2.1772
269,2.168
269.5,2.1549
270,2.1993
270.5,2.1581
271,2.1662
271.5,2.19
272,2.1634
272.5,2.1634
273,2.1612
273.5,2.1731
274,2.1941
274.5,2.1746
275,2.1609
275.5,2.16
276,2.1747
276.5,2.1702
277,2.1987
277.5,2.1838
278,2.176
278.5,2.1865
279,2.1733
279.5,2.167
280,2.2222
280.5,2.1638
281,2.1933
281.5,2.1805
282,2.1766
282.5,2.2162
283,2.1709
283.5,2.1789
284,2.1817
284.5,2.194
285,2.1881
285.5,2.1681
286,2.1646
286.5,2.164
287,2.1655
287.5,2.1696
288,2.2087
288.5,2.158
289,2.188
289.5,2.174
290,2.1602
290.5,2.1588
291,2.1664
291.5,2.1723
292,2.1681
292.5,2.1606
293,2.1729
293.5,2.1585
294,2.1906
294.5,2.1583
295,2.1595
295.5,2.1582
296,2.1596
296.5,2.167
297,2.1696
297.5,2.1722
298,2.1555
298.5,2.168
299,2.1687
299.5,2.1686
300,2.1624
300.5,2.1588
301,2.1694
301.5,2.1573
302,2.1743
302.5,2.1918
303,2.1699
303.5,2.1784
304,2.1642
304.5,2.1696
305,2.1618
305.5,2.1625
306,2.1646
306.5,2.1977
307,2.1758
307.5,2.1622
308,2.1835
308.5,2.2045
309,2.1977
309.5,2.1744
310,2.1711
310.5,2.19
311,2.1727
311.5,2.2106
312,2.1808
312.5,2.1788
313,2.1776
313.5,2.1781
314,2.1635
314.5,2.163
315,2.1734
315.5,2.1678
316,2.179
316.5,2.1789
317,2.1682
317.5,2.1653
318,2.1767
318.5,2.172
319,2.1707
319.5,2.1783
320,2.1723
320.5,2.1778
321,2.1742
321.5,2.2011
322,2.2036
322.5,2.186
323,2.1855
323.5,2.1808
324,2.1758
324.5,2.2017
325,2.1896
325.5,2.183
326,2.1904
326.5,2.1895
327,2.188
327.5,2.1905
328,2.1807
328.5,2.1813
329,2.2126
329.5,2.1798
330,2.1751
330.5,2.1783
331,2.1973
331.5,2.2611
332,2.1746
332.5,2.1776
333,2.1672
333.5,2.1647
334,2.1644
334.5,2.1739
335,2.1755
335.5,2.1662
336,2.1671
336.5,2.1982
337,2.2671
337.5,2.2073
338,2.1846
338.5,2.1724
339,2.2034
339.5,2.1702
340,2.1675
340.5,2.1652
341,2.1699
341.5,2.1825
342,2.1782
342.5,2.1993
343,2.179
343.5,2.1691
344,2.1714
344.5,2.1727
345,2.1822
345.5,2.1686
346,2.1692
346.5,2.1892
347,2.1927
347.5,2.1727
348,2.166
348.5,2.166
349,2.1649
349.5,2.1682
350,2.171
350.5,2.1666
351,2.1652
351.5,2.1717
352,2.1772
352.5,2.1776
353,2.1791
353.5,2.174
354,2.1672
354.5,2.1843
355,2.1791
355.5,2.186
356,2.1889
356.5,2.2129
357,2.2003
357.5,2.1822
358,2.1771
358.5,2.1769
359,2.1663
359.5,2.1713
360,2.1709
360.5,2.1763
361,2.1771
361.5,2.1874
362,2.1698
362.5,2.1795
363,2.1737
363.5,2.1769
364,2.1782
364.5,2.2081
365,2.1754
365.5,2.1764
366,2.1655
366.5,2.1715
367,2.1859
367.5,2.1893
368,2.1734
368.5,2.2025
369,2.1738
369.5,2.2135
370,2.17
370.5,2.1693
371,2.1625
371.5,2.1812
372,2.1611
372.5,2.1605
373,2.1731
373.5,2.1639
374,2.1625
374.5,2.1655
375,2.1618
375.5,2.1653
376,2.1651
376.5,2.1621
